OrderID;CustomerID;EmployeeID;OrderDate;ShipperID
10386;21;9;2023-12-18;3
10387;70;1;2023-12-18;2
10388;72;2;2023-12-19;1
10389;10;4;2023-12-20;2
10390;20;6;2023-12-23;1
10391;17;3;2023-12-23;3
10392;59;2;2023-12-24;3
10393;71;1;2023-12-25;3
10394;36;1;2023-12-25;3
10395;35;6;2023-12-26;1
10396;25;1;2023-12-27;3
10397;60;5;2023-12-27;1
10398;71;2;2023-12-30;3
10399;83;8;2023-12-31;3
10400;19;1;2024-01-01;3
10401;65;1;2024-01-01;1
10402;20;8;2024-01-02;2
10403;20;4;2024-01-03;3
10404;49;2;2024-01-03;1
10405;47;1;2024-01-06;1
10406;62;7;2024-01-07;1
10407;56;2;2024-01-07;2
10408;23;8;2024-01-08;1
10409;54;3;2024-01-09;1
10410;10;3;2024-01-10;3
10411;10;9;2024-01-10;3
10412;87;8;2024-01-13;2
10413;41;3;2024-01-14;2
10414;21;2;2024-01-14;3
10415;36;3;2024-01-15;1
10416;87;8;2024-01-16;3
10417;73;4;2024-01-16;3
10418;63;4;2024-01-17;1
10419;68;4;2024-01-20;2
10420;88;3;2024-01-21;1
10421;61;8;2024-01-21;1
10422;27;2;2024-01-22;1
10423;31;6;2024-01-23;3
10424;51;7;2024-01-23;2
10425;41;6;2024-01-24;2
10426;29;4;2024-01-27;1
10427;59;4;2024-01-27;2
10428;66;7;2024-01-28;1
10429;37;3;2024-01-29;2
10430;20;4;2024-01-30;1
10431;10;4;2024-01-30;2
10432;75;3;2024-01-31;2
10433;60;3;2024-02-03;3
10434;24;3;2024-02-03;2
10435;16;8;2024-02-04;2
10436;7;3;2024-02-05;2
10437;87;8;2024-02-05;1
10438;79;3;2024-02-06;2
10439;51;6;2024-02-07;3
10440;71;4;2024-02-10;2
10441;55;3;2024-02-10;2
10442;20;3;2024-02-11;2
10443;66;8;2024-02-12;1
